Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,140.277252,140.602295,139.541107,140.305923,96.377892,3106411
2011-01-03,140.736145,141.682602,140.669220,140.994263,96.850693,4815575
2011-01-04,141.070740,141.701721,140.191208,141.147232,96.955780,5292865
2011-01-05,140.860428,140.994263,140.277252,140.583176,96.568329,4871640
2011-01-06,140.659653,142.246658,140.363297,142.122375,97.625603,5260543
2011-01-07,142.246658,142.313583,140.478012,141.424469,97.146210,4325942
2011-01-10,141.089859,141.548752,140.755264,141.147232,96.955780,3800536
2011-01-11,141.682602,141.826004,140.296371,140.803055,96.719398,4355126
2011-01-12,141.481842,142.724670,141.175903,142.543015,97.914581,4279709
2011-01-13,142.676865,142.724670,141.730408,142.275330,97.730698,3604307
2011-01-14,142.342255,143.403442,141.940720,143.403442,98.505623,4753233
2011-01-18,143.231354,144.799240,142.810699,144.024857,98.932465,9599037
2011-01-19,146.520081,149.263855,146.108994,148.843216,102.242256,12699486
2011-01-20,147.734222,149.101334,147.657745,148.948380,102.314499,7782135
2011-01-21,149.521988,149.885284,148.145309,148.661575,102.117470,7331414
2011-01-24,148.585083,152.762909,148.499039,152.609940,104.829666,7620215
2011-01-25,152.208420,157.122375,152.007645,154.340347,106.018318,8640797
2011-01-26,154.560226,154.780121,153.365204,153.957932,105.755592,5599343
2011-01-27,154.330780,155.047806,153.785858,153.986618,105.775314,5102702
2011-01-28,153.967499,154.799240,151.692154,152.208420,104.553841,7034978
2011-01-31,152.179733,154.875717,151.701721,154.875717,106.386047,7528271
2011-02-01,154.980881,156.730408,154.875717,156.367111,107.410500,6099540
2011-02-02,156.214142,156.405350,155.458893,156.118546,107.239761,4083584
2011-02-03,155.984711,156.978973,155.650101,156.338425,107.390762,4898836
2011-02-04,156.290634,156.921600,156.042068,156.787766,107.699448,3927939
2011-02-07,156.864243,157.734222,156.806885,157.571701,108.237991,5154793
2011-02-08,157.571701,158.938812,157.093689,158.747604,109.477432,5870780
2011-02-09,158.336517,158.671127,156.883362,157.409180,108.554413,4846746
2011-02-10,156.692154,157.743790,156.003830,156.873810,108.185181,6001739
2011-02-11,156.768646,157.753342,156.128113,156.644363,108.026939,5423719
2011-02-14,156.959854,157.151047,155.688339,156.042068,107.611588,4319771
2011-02-15,155.726578,156.376678,155.372849,155.678772,107.361084,3942060
2011-02-16,156.147232,156.405350,155.592728,156.214142,107.730278,3363936
2011-02-17,156.118546,157.428299,155.688339,157.017212,108.284111,3379103
2011-02-18,157.227539,157.590820,156.883362,157.590820,108.679680,4440270
2011-02-22,156.376678,157.036331,154.665390,154.827911,106.774261,5448928
2011-02-23,154.694077,155.525818,153.097519,153.135757,105.607315,6274013
